HDR,ROLLING SYSTEM DEMAND
VD,20220301220000,32446
VD,20220301220500,32466
VD,20220301221000,32216
VD,20220301221500,31922
VD,20220301222000,31689
VD,20220301222500,31253
VD,20220301223000,31007
VD,20220301223500,30856
VD,20220301224000,30578
VD,20220301224500,30415
VD,20220301225000,30096
VD,20220301225500,29762
VD,20220301230000,29333
VD,20220301230500,28583
VD,20220301231000,28209
VD,20220301231500,27832
VD,20220301232000,27538
VD,20220301232500,27228
VD,20220301233000,26907
VD,20220301233500,26761
VD,20220301234000,26668
VD,20220301234500,26575
VD,20220301235000,26456
VD,20220301235500,26349
VD,20220302000000,26398
VD,20220302000500,26382
VD,20220302001000,26348
VD,20220302001500,26418
VD,20220302002000,26376
VD,20220302002500,26109
VD,20220302003000,25963
VD,20220302003500,26272
VD,20220302004000,26484
VD,20220302004500,26521
VD,20220302005000,26504
VD,20220302005500,26456
VD,20220302010000,26406
VD,20220302010500,26696
VD,20220302011000,26789
VD,20220302011500,26684
VD,20220302012000,26608
VD,20220302012500,26571
VD,20220302013000,26473
VD,20220302013500,26602
VD,20220302014000,26870
VD,20220302014500,26979
VD,20220302015000,26830
VD,20220302015500,26805
VD,20220302020000,26805
VD,20220302020500,26876
VD,20220302021000,26986
VD,20220302021500,26806
VD,20220302022000,26680
VD,20220302022500,26727
VD,20220302023000,26660
VD,20220302023500,26592
VD,20220302024000,26578
VD,20220302024500,26597
VD,20220302025000,26615
VD,20220302025500,26604
VD,20220302030000,26612
VD,20220302030500,26689
VD,20220302031000,26828
VD,20220302031500,26795
VD,20220302032000,26714
VD,20220302032500,26582
VD,20220302033000,26486
VD,20220302033500,26436
VD,20220302034000,26409
VD,20220302034500,26347
VD,20220302035000,26266
VD,20220302035500,26305
VD,20220302040000,26466
VD,20220302040500,26833
VD,20220302041000,27126
VD,20220302041500,27075
VD,20220302042000,27060
VD,20220302042500,27066
VD,20220302043000,27115
VD,20220302043500,27255
VD,20220302044000,27257
VD,20220302044500,27297
VD,20220302045000,27077
VD,20220302045500,26875
VD,20220302050000,26729
