Operating Revenue (In Thousands of Dollars $000) (All U.S. Carriers - All regions),,,,,,,
Year,Quarter,DOMESTIC,LATIN AMERICA,ATLANTIC,PACIFIC,INTERNATIONAL,TOTAL
2000,1,"23,262,183","1,639,679","2,690,229","2,240,370","370,524","30,202,987"
2000,2,"25,573,067","1,626,743","3,419,032","2,432,840","390,007","33,441,689"
2000,3,"25,313,087","1,776,933","3,796,968","2,801,208","370,491","34,058,686"
2000,4,"24,751,473","1,761,932","3,113,734","2,545,414","372,305","32,544,858"
2000,TOTAL,"98,899,811","6,805,287","13,019,963","10,019,832","1,503,327","130,248,220"
2001,1,"23,620,312","1,848,448","2,913,460","2,319,491","409,925","31,111,636"
2001,2,"23,987,256","1,695,829","3,461,580","2,313,437","343,148","31,801,250"
2001,3,"20,950,846","1,607,118","3,354,092","2,337,637","175,204","28,424,897"
2001,4,"17,961,577","1,382,343","2,355,216","1,822,516","367,535","23,889,187"
2001,TOTAL,"86,519,991","6,533,737","12,084,349","8,793,081","1,295,812","115,226,970"
2002,1,"18,933,402","1,570,487","2,234,540","1,990,620","363,648","25,092,698"
2002,2,"20,577,509","1,491,241","2,945,816","2,254,430","332,809","27,601,805"
2002,3,"19,991,294","1,524,572","3,224,111","2,511,105","349,376","27,600,459"
2002,4,"19,785,273","1,498,818","2,670,009","2,488,801","386,765","26,829,665"
2002,TOTAL,"79,287,478","6,085,118","11,074,476","9,244,957","1,432,599","107,124,627"
2003,1,"20,692,159","1,685,703","2,542,765","2,244,552","494,873","27,660,051"
2003,2,"22,066,941","1,549,992","2,971,953","1,972,968","420,780","28,982,633"
2003,3,"23,166,224","1,587,724","3,291,695","2,319,427","416,950","30,782,019"
2003,4,"22,944,772","1,577,789","2,920,730","2,439,233","460,788","30,343,311"
2003,TOTAL,"88,870,096","6,401,207","11,727,142","8,976,179","1,793,391","117,768,014"
2004,1,"23,886,067","1,913,157","2,856,520","2,457,368","520,600","31,633,711"
2004,2,"25,861,558","1,760,412","3,574,109","2,643,537","458,638","34,298,255"
2004,3,"25,701,945","1,820,052","3,857,882","2,857,825","483,372","34,721,076"
2004,4,"25,452,940","1,870,593","3,346,180","2,809,887","527,642","34,007,242"
2004,TOTAL,"100,902,510","7,364,215","13,634,690","10,768,617","1,990,252","134,660,284"
2005,1,"25,688,272","2,228,071","3,237,584","2,809,042","718,114","34,681,084"
2005,2,"28,418,255","2,094,849","4,081,050","3,139,866","668,959","38,402,979"
2005,3,"29,046,508","2,150,520","4,520,600","3,381,518","707,787","39,806,934"
2005,4,"28,705,027","2,145,615","3,725,338","3,287,353","790,074","38,653,407"
2005,TOTAL,"111,858,063","8,619,055","15,564,572","12,617,779","2,884,934","151,544,403"
2006,1,"28,396,127","2,579,082","3,537,831","3,141,367","731,363","38,385,770"
2006,2,"31,743,405","2,577,504","4,838,065","3,412,294","652,246","43,223,514"
2006,3,"31,076,705","2,564,685","5,200,377","3,699,996","737,731","43,279,494"
2006,4,"29,690,689","2,579,610","4,175,807","3,430,858","766,061","40,643,024"
2006,TOTAL,"120,906,925","10,300,881","17,752,080","13,684,515","2,887,401","165,531,803"
2007,1,"28,814,565","3,051,828","4,096,981","3,205,345","776,734","39,945,453"
2007,2,"32,017,353","2,895,956","5,516,584","3,486,202","772,220","44,688,315"
2007,3,"32,291,692","2,895,966","6,032,640","3,917,460","817,438","45,955,196"
2007,4,"31,379,368","2,960,088","5,066,114","3,737,421","964,460","44,107,452"
2007,TOTAL,"124,502,978","11,803,838","20,712,320","14,346,428","3,330,852","174,696,416"
